content,label
Sangat membantu,positif
kasian gara gara aplikasi ni banyak pro dan kontra 🗿,positif
Mantap,positif
"Perbaikan, Buat Memudahkan KPPS Kedepan",positif
"Hmmm ocr nya menggelitik, datanya gak pas, di edit manual (khusus presiden kagak bisa) udah di upload salah data ga bisa di cancel, mana data salah juga invalid ga bisa upload, jadi stuck aja di cancel ga bisa di terusin juga ga bisa. Review jujur, untuk sekelas aplikasi formal agak mengecewakan, niat hati mau mempermudahkan malah mempersyulit",negatif
tidak terkejut dengan keanehan sistem negara,negatif
"Apps skala nasional tapi server skala kabupaten, haduhh",negatif
Gak guna sii,negatif
"Aplikasi bertujuan bagus, demi cucu dan kemenakan maju, mana pas pake susah banget, loading lama dan upload g bisa2",negatif
Membantu,positif
Aplikasi memalukan,negatif
Tetap terbaik,positif
Bagus,positif
Aplikasi buang buang uang negara.,negatif
Sangat tidak user friendly,negatif
Aplikasi tolol,negatif
"app g jls, masa mau buka pertama kali lngsung sign in, sdngkn blm prmh dftr atw tdk ada menu sign up🤦🏻‍♂️",negatif
Ribet,negatif
bnyak gangguan,negatif
Apk mentahan...banyak poŕtalnya,negatif
APLIKASI AMPAS !,Negatif
"Masih banyak bug, kamera tidak jernih, server down terus",negatif
Error',negatif
Jelek dan ga jelas,negatif
"Nama aplikasi politik ya tentu sarat kepentingan, kalo dibuat sempurna kan sulit curangnya",negatif
Aplikasi tolooooooool,negatif
"Apk curang, ga guna aplikasi kaya gini.",negatif
Jelek,negatif
Segera perbaiki untuk pilkada yang akan datang,positif
sangat rusak,negatif
Aplikasi tak berguna sama sekali,negatif
Bisa menjadikan alat bantu dan bisa secara langsung maupun memper cepat inpormasi dari negara lain,positif
"Informasinya kacau....banyak kesalahan input dll,,padahal biayanya muahaalll... Pakai uang pajak ,,waduuhh piye iki,,",negatif
Aplikasi sampah,negatif
Busuk,negatif
Jelek,negatif
gara-gara sirekap kerja kpps ga maksimal,negatif
aplikasi sampah,negatif
TIDAK BISA DIBUKA,negatif
Sangat buruk. Perusak Demokrasi,negatif
"Belajar dari google image...sekelas negara buat aplikasi masih kayak aplikasi amatiran. Baru scan angka aja sudah 'belepotan'. Bagaimana seperti google image yang bisa langsung terjemahkan berbagai bahasa,menghamburkan dana tapi tidak ada guna",negatif
jelek..memalukan server ada di singapura tapi utk mengolah data indonesia. bakal hancur berantakan klo ini utk barometer perhitungan pemilu,negatif
Aplikasi abal-abal yang justru dipakai negara 🤦🏻🤦🏻,negatif
Ga bisa dibuka.. Harus masuk dulu.. Tambah mu dur lagi..,negatif
Sangat berguna,positif
Aplikasi abu²ngabisin duit rakyat,negatif
Sangat tidak berguna.malah nyalahin kpps.salahin tu KPU.kan KPU bilang sirekap buat mempermudah.eeeeeh tw tw y malah mempersulit kerja kpps,negatif
Aplikasi apaan ini susah masuk???,negatif
Aplikasi sangat buruk,negatif
Belom apa2 udah rusak nih aplikasi. Disuruh log in punya akun aja belom. Dan konyl nya gaada opsi bikin akun. Gini nih kalo orang yg gk ahli dibidangnya malah dikasih jabatan,negatif
"Apknya yang bermasalah,malah kpps yg di salahkan. Tahun berikutnya gak usah lg pake beginian.",negatif
Kok bisa rusaknya negara dari sini,negatif
Intine aplikasi dalam masa percobaan dan hasilnya gagal total,negatif
Semoga Indonesia semakin maju dengan digitalisasi dan transparan. Tapi masyarakat mau liat hasilnya bagaimana ya? Biar bisa hitung sendiri C1 nya. #SilentMinority.,positif
Ngaco aplikasinya,negatif
Aplikasi bosok,negatif
Sudah pasti belum siap.,negatif
