ulasan,label
Sangat-sangat tidak layak dipakai terutama saat benar-benar dibutuhkan.,1
Hadehhhh.....,1
Kalo ujung2nya ga bisa buat upload mending ga usah bikin aplikasi ini deh,5
Permainan,1
App parah. Junkies nyampah,1
Lebih baik tdk dipaksakan utk digunakan kalau aplikasi belum stabil.,1
Hancur lah kau sirekap. Sirekap ASU.,1
Aplikasinya Belum di QC Tingkat Tinggi ini...BUGS !!! 2024,1
Aplikasi apaan ini 16 jadi 166.000 dll dll 0 jd 48.,1
Fake app,1
PAKE FEATURE UPLOAD DONG BOOMER BOOMER FUTURISTIK BIAR G NGEREPOTIN ORANG,1
Salah satu aplikasi yang wajib di install. Sangat membantu dalam ngenolah data,5
Apk babi jadi bahan sengketa asu,1
App dungu,1
"Very bad application, almost all the file is failed and missing",1
Apk yang tidak bermutu dan gampang dijebol,1
aplikasi tidak berguna 👎,1
maaf anda kurang beruntung silahkan upgrade aplikasi kembali,1
Aplikasi broken🔥,1
Aplikasinya penuh kebohongan. Data C1 tidak sesuai dg yg diinput KPU pusat. Komisi penuh kebohongan.,1
So bad,1
"Lapet lapet, lemot ram",1
Aplikasi nyusahin !!!! Udah selesai pemilu masih aja direpotin sama sirekap2 !!!,1
Aplikasi Sering Erorr,1
Hapus ae mending dah ini aplikasi,1
aplikasi kocak,1
APLIKASI MILIK PEMERINTAH YG SANGAT BANYAK KEKURANGAN,1
Apk gak jelas babi,1
"worst application ever, this apps not ready to use",1
Habis update malah ilang semua datanya,1
"Apps belum siap, kaya masih beta yang disalahkan hp pengguna.",1
"Buruk, lambat dan sering error. Mempersulit kerjaan saja",1
"Susah dipake, scan gambar dengan hasil beda. Foto susah di upload",1
Buang2 uang,1
"Data being manipulated, different result from data input, frequent lagging and errors, data keep changing and different from initial data input",1
Tells us all period,1
error:) gabisa log in,1
stelah update versi baru malah tidak bisa login,1
I cannot use it,1
"Aplikasi buruk 1. ui/ux buruk 2. Fitur banyak yg useless banyak kurang nya juga 3. Gatau kenapa pas buka sirekap padahal sudah di foto Dan dapat hasil c salinan eh malah tiba tiba ilang semua (hasil foto jadi kosong semuaaanyaaa) 4. Suka nge bug/nge crash 5. Pas foto udah sesuai eh malah ada notif foto tidak sejajar silahkan foto ulang. Gimana mau foto ulang kertas nya aja udah di masukin kotak, kotak nya udah di serahkan ke PPK. PUSING BET PADAHAL UDAH H+7 MASI AJA DI SURUH NGURUSIN SIREKAP",1
"Masa bikinan sekelas negara aja masih banyak kendala, malah ngehambat warga",1
"Aktivasi account susah, udh dapet account juga sama aja tetep ga bisa log in, pemilu tinggal hitungan hari, aplikasi masi mentah kenapa dipaksa harus pake ini. Menambah keribetan yang g perlu. Edit : sampai hari H g bsa di pake, nambah2 masalah dan kerjaan aja. lain kali g usah pake ginian klo hasilnya ampas ngabisin anggaran negara doang. Atau itu tujuannya??",1
Curang,1
"server yg down aplikasinya yg down,yg di salahin opratornya, situ lawak,jangan lepas tanggung jawab dong pak,main lempar ke oprator aja.ga mau banget di salahin",1
"Minimal punya server yang gede sebelum mau pake buat nasional, akibatnya kpps yang disalahin, hadeh hadeh hadeh",1
Gak pantes dapat bintang anjir,1
Butut..mang,1
Oke,5
Aplikasi Belum Siap,1
Tidak bagus data hasil PiiPres 2024 yang di input berbeda hasil yang tertera,1
"Kasih bintang satu deh, mumpung aku lagi ada nyali gara gara sakit hati dikatain SDM rendah sama KPU. Padahal pas hari H make WiFi udah make data sendiri udah sampe ganti kartu H-sebelumnya emang ni aplikasi server nya aja belum oke, katanya harus online pas hari H pada bisa nya offline👎🏻 Di IOS aja belum bisa harusnya ready buat Andro maupun ios kalo SDM KPU tinggi mah yeeeeee ibuk kpu si PALING TINGGI SDM NYA🫡🔥",1
"Apk belum siap pakai, simulasi sulit, hari H gak bisa dipake",1
aplikasi tolol. imbasnya ke KPPS,1
APK BOSOK DI PUBLISH. BENAHI DULU APLIKASI NYA. JANGAN YG PENTING ASAL RILIS,1
"Literally not ready for a big event like national election recap. As a tool, it provides fatal flaws in bussiness process and functionality.",1
Aplikasi hasil kerja sama dengan kampus terkenal ITB selama 2 tahun 🤣 👎👎👎👎,1
Apk pemerintah kok gini amat kalah sama game,1
Bad apps!!!!!,1
aplikasi penimbul fitnah,1
Bad application,1
Jelek. Udh itu doang yg bisa menggambarkan aplikasi ini,1
Aplikasi yang buruk malah nyalahin KPPS,1
